TPM,GPIO2
INT0,GPIO2
INT1,GPIO22
INT2,GPIO23
INT3,GPIO24
INT4,GPIO26
INT5,GPIO27
INT6,GPIO28
INT7,GPIO29
INT8,GPIO3
INT9,GPIO4
INT10,GPIO5
INT11,GPIO6
INT12,GPIO7
INT13,GPIO8
INT14,GPIO9
INT15,GPIO10
INT16,GPIO11
INT17,GPIO12
LED,GPIO25
USER,GPIO25
